"studyid","workflowid","gsm_version","param","index","value"
"AA-AA-000-0000","cou0003","v1.7.3","strMethod",NA,"NormalApprox"
"AA-AA-000-0000","cou0004","v1.7.3","vThreshold",1,"-3"
"AA-AA-000-0000","cou0004","v1.7.3","vThreshold",2,"-2"
"AA-AA-000-0000","cou0004","v1.7.3","vThreshold",3,"2"
"AA-AA-000-0000","cou0004","v1.7.3","vThreshold",4,"3"
"AA-AA-000-0000","cou0004","v1.7.3","strMethod",NA,"NormalApprox"
"AA-AA-000-0000","cou0005","v1.7.3","vThreshold",1,"-3"
"AA-AA-000-0000","cou0005","v1.7.3","vThreshold",2,"-2"
"AA-AA-000-0000","cou0005","v1.7.3","vThreshold",3,"2"
"AA-AA-000-0000","cou0005","v1.7.3","vThreshold",4,"3"
"AA-AA-000-0000","cou0005","v1.7.3","strMethod",NA,"NormalApprox"
"AA-AA-000-0000","cou0006","v1.7.3","vThreshold",1,"-3"
"AA-AA-000-0000","cou0006","v1.7.3","vThreshold",2,"-2"
"AA-AA-000-0000","cou0006","v1.7.3","vThreshold",3,"2"
"AA-AA-000-0000","cou0006","v1.7.3","vThreshold",4,"3"
"AA-AA-000-0000","cou0006","v1.7.3","strMethod",NA,"NormalApprox"
"AA-AA-000-0000","cou0007","v1.7.3","vThreshold",1,"-3"
"AA-AA-000-0000","cou0007","v1.7.3","vThreshold",2,"-2"
"AA-AA-000-0000","cou0007","v1.7.3","vThreshold",3,"2"
"AA-AA-000-0000","cou0007","v1.7.3","vThreshold",4,"3"
"AA-AA-000-0000","cou0007","v1.7.3","strMethod",NA,"NormalApprox"
"AA-AA-000-0000","cou0008","v1.7.3","vThreshold",1,"-3"
"AA-AA-000-0000","cou0008","v1.7.3","vThreshold",2,"-2"
"AA-AA-000-0000","cou0008","v1.7.3","vThreshold",3,"2"
"AA-AA-000-0000","cou0008","v1.7.3","vThreshold",4,"3"
"AA-AA-000-0000","cou0008","v1.7.3","strMethod",NA,"NormalApprox"
"AA-AA-000-0000","cou0009","v1.7.3","vThreshold",1,"-3"
"AA-AA-000-0000","cou0009","v1.7.3","vThreshold",2,"-2"
