"studyid","workflowid","threshold","numerator","denominator","log_denominator","gsm_analysis_date"
"AA-AA-000-0000","kri0001",-2,14.4754265782283,20193.944,9.9131380364595,2010-11-01
"AA-AA-000-0000","kri0001",-2,14.7434563298182,20300.46,9.91839882487166,2010-11-01
"AA-AA-000-0000","kri0001",-2,15.0119869679813,20406.976,9.92363208216136,2010-11-01
"AA-AA-000-0000","kri0001",-2,15.2810145761629,20513.492,9.92883809498464,2010-11-01
"AA-AA-000-0000","kri0001",-2,15.5505352885845,20620.008,9.93401714554372,2010-11-01
"AA-AA-000-0000","kri0001",-2,15.820545289327,20726.524,9.93916951167875,2010-11-01
"AA-AA-000-0000","kri0001",-2,16.0910408114352,20833.04,9.94429546695726,2010-11-01
"AA-AA-000-0000","kri0001",-2,16.3620181360427,20939.556,9.94939528076134,2010-11-01
"AA-AA-000-0000","kri0001",-2,16.6334735915163,21046.072,9.95446921837254,2010-11-01
"AA-AA-000-0000","kri0001",-2,16.9054035526212,21152.588,9.95951754105475,2010-11-01
"AA-AA-000-0000","kri0001",-2,17.1778044397036,21259.104,9.96454050613482,2010-11-01
"AA-AA-000-0000","kri0001",-2,17.4506727178924,21365.62,9.96953836708136,2010-11-01
"AA-AA-000-0000","kri0001",-2,17.7240048963194,21472.136,9.97451137358145,2010-11-01
"AA-AA-000-0000","kri0001",-2,17.9977975273553,21578.652,9.97945977161549,2010-11-01
"AA-AA-000-0000","kri0001",-2,18.2720472058645,21685.168,9.98438380353021,2010-11-01
"AA-AA-000-0000","kri0001",-2,18.5467505684747,21791.684,9.98928370810989,2010-11-01
"AA-AA-000-0000","kri0001",-2,18.8219042928636,21898.2,9.99415972064584,2010-11-01
"AA-AA-000-0000","kri0001",-2,19.0975050970612,22004.716,9.99901207300421,2010-11-01
"AA-AA-000-0000","kri0001",-2,19.3735497387663,22111.232,10.0038409936921,2010-11-01
"AA-AA-000-0000","kri0001",-2,19.6500350146791,22217.748,10.0086467079223,2010-11-01
"AA-AA-000-0000","kri0001",-2,19.926957759847,22324.264,10.0134294376761,2010-11-01
"AA-AA-000-0000","kri0001",-2,20.2043148470253,22430.78,10.0181894017647,2010-11-01
"AA-AA-000-0000","kri0001",-2,20.4821031860513,22537.296,10.0229268158899,2010-11-01
"AA-AA-000-0000","kri0001",-2,20.7603197232314,22643.812,10.027641892702,2010-11-01
"AA-AA-000-0000","kri0001",-2,21.0389614407413,22750.328,10.0323348418576,2010-11-01
"AA-AA-000-0000","kri0001",-2,21.3180253560392,22856.844,10.0370058700752,2010-11-01
"AA-AA-000-0000","kri0001",-2,21.5975085212907,22963.36,10.0416551811901,2010-11-01
"AA-AA-000-0000","kri0001",-2,21.8774080228061,23069.876,10.0462829762075,2010-11-01
"AA-AA-000-0000","kri0001",-2,22.1577209804894,23176.392,10.0508894533552,2010-11-01
"AA-AA-000-0000","kri0001",-2,22.4384445472983,23282.908,10.0554748081336,2010-11-01
"AA-AA-000-0000","kri0001",-2,22.7195759087156,23389.424,10.0600392333665,2010-11-01
"AA-AA-000-0000","kri0001",-2,23.0011122822315,23495.94,10.064582919249,2010-11-01
"AA-AA-000-0000","kri0001",-2,23.283050916836,23602.456,10.0691060533956,2010-11-01
"AA-AA-000-0000","kri0001",-2,23.5653890925223,23708.972,10.0736088208863,2010-11-01
"AA-AA-000-0000","kri0001",-2,23.8481241197997,23815.488,10.078091404312,2010-11-01
"AA-AA-000-0000","kri0001",-2,24.1312533392163,23922.004,10.0825539838195,2010-11-01
"AA-AA-000-0000","kri0001",-2,24.4147741208915,24028.52,10.0869967371542,2010-11-01
"AA-AA-000-0000","kri0001",-2,24.6986838640577,24135.036,10.0914198397032,2010-11-01
"AA-AA-000-0000","kri0001",-2,24.9829799966109,24241.552,10.0958234645363,2010-11-01
"AA-AA-000-0000","kri0001",-2,25.2676599746708,24348.068,10.1002077824471,2010-11-01
"AA-AA-000-0000","kri0001",-2,25.5527212821486,24454.584,10.1045729619925,2010-11-01
"AA-AA-000-0000","kri0001",-2,25.8381614303243,24561.1,10.1089191695317,2010-11-01
"AA-AA-000-0000","kri0001",-2,26.1239779574312,24667.616,10.1132465692641,2010-11-01
"AA-AA-000-0000","kri0001",-2,26.4101684282494,24774.132,10.1175553232666,2010-11-01
"AA-AA-000-0000","kri0001",-2,26.6967304337065,24880.648,10.12184559153,2010-11-01
